,raceId,year,circuitId,name,date,driverId,constructorId,laps,time,statusId,driver_name,Temperature (C),Humidity,WindSpeed,TrackTemp,Rain
0,989,2018,1,Australian Grand Prix,2018-03-25,20,6,58,1:29:33.283,1,vettel,24.077477477477483,30.91531531531532,3.6918918918918915,36.324324324324316,True
1,990,2018,3,Bahrain Grand Prix,2018-04-08,20,6,57,1:32:01.940,1,vettel,27.982524271844653,47.36310679611651,0.9582524271844662,32.19805825242719,False
2,991,2018,17,Chinese Grand Prix,2018-04-15,817,9,56,1:35:36.380,1,ricciardo,19.446428571428573,24.089285714285715,1.8375000000000001,37.01964285714286,True
3,992,2018,73,Azerbaijan Grand Prix,2018-04-29,1,131,51,1:43:44.291,1,hamilton,16.66140350877193,45.651754385964914,2.2228070175438597,25.25175438596491,False
4,993,2018,4,Spanish Grand Prix,2018-05-13,1,131,66,1:35:29.972,1,hamilton,16.050476190476193,52.28666666666667,1.9523809523809523,32.33904761904761,True
5,994,2018,6,Monaco Grand Prix,2018-05-27,817,9,78,1:42:54.807,1,ricciardo,26.640707964601766,50.892920353982305,1.382300884955752,34.60973451327434,True
6,995,2018,7,Canadian Grand Prix,2018-06-10,20,6,68,1:28:31.377,1,vettel,20.52358490566038,27.82547169811321,2.471698113207547,36.94905660377359,False
7,996,2018,34,French Grand Prix,2018-06-24,1,131,53,1:30:11.385,1,hamilton,24.546078431372553,49.049019607843135,1.8156862745098041,42.03333333333334,True
8,997,2018,70,Austrian Grand Prix,2018-07-01,830,9,71,1:21:56.024,1,max_verstappen,23.176086956521743,37.141304347826086,2.4847826086956526,45.87934782608695,False
9,998,2018,9,British Grand Prix,2018-07-08,20,6,52,1:27:29.784,1,vettel,27.43163265306122,38.73979591836735,1.4612244897959183,52.16938775510204,False
10,999,2018,10,German Grand Prix,2018-07-22,1,131,67,1:32:29.845,1,hamilton,26.40192307692308,54.80769230769231,2.0086538461538463,40.66826923076923,True
11,1000,2018,11,Hungarian Grand Prix,2018-07-29,1,131,70,1:37:16.427,1,hamilton,33.75887850467289,33.00654205607477,1.1429906542056074,51.08971962616822,False
12,1001,2018,13,Belgian Grand Prix,2018-08-26,20,6,44,1:23:34.476,1,vettel,17.327358490566038,37.700943396226414,2.039622641509434,27.89811320754717,False
13,1002,2018,14,Italian Grand Prix,2018-09-02,1,131,53,1:16:54.484,1,hamilton,22.189898989898992,63.8070707070707,2.1242424242424245,30.822222222222223,True
14,1003,2018,15,Singapore Grand Prix,2018-09-16,1,131,61,1:51:11.611,1,hamilton,29.86541353383459,66.03609022556391,1.978947368421053,33.12406015037594,False
15,1004,2018,71,Russian Grand Prix,2018-09-30,1,131,53,1:27:25.181,1,hamilton,24.778181818181817,61.30818181818182,1.997272727272727,29.945454545454545,True
16,1005,2018,22,Japanese Grand Prix,2018-10-07,1,131,53,1:27:17.062,1,hamilton,28.26481481481482,50.51574074074074,1.7916666666666667,37.17037037037037,False
17,1006,2018,69,United States Grand Prix,2018-10-21,8,6,56,1:34:18.643,1,raikkonen,21.93358778625954,37.555725190839695,2.0908396946564882,30.486259541984733,False
18,1007,2018,32,Mexican Grand Prix,2018-10-28,830,9,71,1:38:28.851,1,max_verstappen,20.1231884057971,50.70942028985507,1.5594202898550724,34.47028985507246,False
19,1008,2018,18,Brazilian Grand Prix,2018-11-11,1,131,71,1:27:09.066,1,hamilton,23.7696,75.4128,2.1872000000000003,40.0688,False
20,1009,2018,24,Abu Dhabi Grand Prix,2018-11-25,1,131,55,1:39:40.382,1,hamilton,31.273722627737225,45.43795620437956,2.1635036496350364,33.31824817518248,True
21,1010,2019,1,Australian Grand Prix,2019-03-17,822,131,58,1:25:27.325,1,bottas,23.477868852459014,70.4532786885246,1.166393442622951,41.31311475409837,False
22,1011,2019,3,Bahrain Grand Prix,2019-03-31,1,131,57,1:34:21.295,1,hamilton,26.210852713178294,53.372093023255815,2.7108527131782947,28.610852713178296,False
23,1012,2019,17,Chinese Grand Prix,2019-04-14,1,131,56,1:32:06.350,1,hamilton,19.32992125984252,45.98110236220473,3.3157480314960632,27.33700787401575,False
24,1013,2019,73,Azerbaijan Grand Prix,2019-04-28,822,131,51,1:31:52.942,1,bottas,19.76356589147287,51.40852713178294,1.2496124031007751,39.65426356589147,False
25,1014,2019,4,Spanish Grand Prix,2019-05-12,1,131,66,1:35:50.443,1,hamilton,20.147727272727273,54.724242424242426,1.9295454545454545,40.72727272727273,False
26,1015,2019,6,Monaco Grand Prix,2019-05-26,1,131,78,1:43:28.437,1,hamilton,22.754676258992802,52.697841726618705,0.9035971223021583,32.72949640287769,True
27,1016,2019,7,Canadian Grand Prix,2019-06-09,1,131,70,1:29:07.084,1,hamilton,29.368253968253967,16.14761904761905,1.3087301587301585,51.098412698412695,False
28,1017,2019,34,French Grand Prix,2019-06-23,1,131,53,1:24:31.198,1,hamilton,26.89421487603306,39.09090909090909,1.6785123966942148,54.525619834710746,False
29,1018,2019,70,Austrian Grand Prix,2019-06-30,830,9,71,1:22:01.822,1,max_verstappen,34.44406779661016,17.965254237288136,1.225423728813559,50.74406779661018,False
30,1019,2019,9,British Grand Prix,2019-07-14,1,131,52,1:21:08.452,1,hamilton,18.905084745762718,62.135593220338976,2.011864406779661,30.32203389830509,False
31,1020,2019,10,German Grand Prix,2019-07-28,830,9,64,1:44:31.275,1,max_verstappen,21.503401360544217,87.83061224489796,1.006122448979592,26.441496598639453,True
32,1021,2019,11,Hungarian Grand Prix,2019-08-04,1,131,70,1:35:03.796,1,hamilton,25.66,33.893076923076926,1.1938461538461538,44.096923076923076,False
33,1022,2019,13,Belgian Grand Prix,2019-09-01,844,6,44,1:23:45.710,1,leclerc,17.4,57.03,2.0358333333333336,28.119166666666665,False
34,1023,2019,14,Italian Grand Prix,2019-09-08,844,6,53,1:15:26.665,1,leclerc,21.0972972972973,51.574774774774774,1.5666666666666667,33.04054054054055,False
