,resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,Unnamed: 0.1,Unnamed: 0,year,name,Temperature (C),Humidity,WindSpeed,TrackTemp,Rain,Temperature (F),Heat Index
23,23805,990,842,5,10,5,4,4,4,12.0,57,+1:02.234,5584174,46,11,1:34.863,205.382,1,1,1,2018,Bahrain Grand Prix,27.982524271844653,47.36310679611651,0.9582524271844662,32.19805825242719,False,82.36854368932038,Caution
24,23806,990,825,210,20,6,5,5,5,10.0,57,+1:15.046,5596986,29,5,1:34.327,206.549,1,1,1,2018,Bahrain Grand Prix,27.982524271844653,47.36310679611651,0.9582524271844662,32.19805825242719,False,82.36854368932038,Caution
25,23807,990,807,4,27,7,6,6,6,8.0,57,+1:39.024,5620964,50,9,1:34.667,205.807,1,1,1,2018,Bahrain Grand Prix,27.982524271844653,47.36310679611651,0.9582524271844662,32.19805825242719,False,82.36854368932038,Caution
26,23808,990,4,1,14,13,7,7,7,6.0,56,\N,\N,47,4,1:34.168,206.898,11,1,1,2018,Bahrain Grand Prix,27.982524271844653,47.36310679611651,0.9582524271844662,32.19805825242719,False,82.36854368932038,Caution
27,23809,990,838,1,2,14,8,8,8,4.0,56,\N,\N,30,16,1:35.131,204.803,11,1,1,2018,Bahrain Grand Prix,27.982524271844653,47.36310679611651,0.9582524271844662,32.19805825242719,False,82.36854368932038,Caution
28,23810,990,828,15,9,17,9,9,9,2.0,56,\N,\N,26,15,1:35.093,204.885,11,1,1,2018,Bahrain Grand Prix,27.982524271844653,47.36310679611651,0.9582524271844662,32.19805825242719,False,82.36854368932038,Caution
29,23811,990,839,10,31,8,10,10,10,1.0,56,\N,\N,38,12,1:35.043,204.993,11,1,1,2018,Bahrain Grand Prix,27.982524271844653,47.36310679611651,0.9582524271844662,32.19805825242719,False,82.36854368932038,Caution
30,23812,990,832,4,55,10,11,11,11,0.0,56,\N,\N,35,18,1:35.535,203.937,11,1,1,2018,Bahrain Grand Prix,27.982524271844653,47.36310679611651,0.9582524271844662,32.19805825242719,False,82.36854368932038,Caution
31,23813,990,844,15,16,19,12,12,12,0.0,56,\N,\N,35,14,1:35.075,204.924,11,1,1,2018,Bahrain Grand Prix,27.982524271844653,47.36310679611651,0.9582524271844662,32.19805825242719,False,82.36854368932038,Caution
32,23814,990,154,210,8,16,13,13,13,0.0,56,\N,\N,44,10,1:34.689,205.759,11,1,1,2018,Bahrain Grand Prix,27.982524271844653,47.36310679611651,0.9582524271844662,32.19805825242719,False,82.36854368932038,Caution
33,23815,990,840,3,18,20,14,14,14,0.0,56,\N,\N,40,13,1:35.058,204.961,11,1,1,2018,Bahrain Grand Prix,27.982524271844653,47.36310679611651,0.9582524271844662,32.19805825242719,False,82.36854368932038,Caution
34,23816,990,845,3,35,18,15,15,15,0.0,56,\N,\N,47,3,1:34.053,207.151,11,1,1,2018,Bahrain Grand Prix,27.982524271844653,47.36310679611651,0.9582524271844662,32.19805825242719,False,82.36854368932038,Caution
35,23817,990,815,10,11,12,16,16,16,0.0,56,\N,\N,32,17,1:35.266,204.513,11,1,1,2018,Bahrain Grand Prix,27.982524271844653,47.36310679611651,0.9582524271844662,32.19805825242719,False,82.36854368932038,Caution
36,23818,990,843,5,28,11,17,17,17,0.0,56,\N,\N,42,8,1:34.563,206.034,11,1,1,2018,Bahrain Grand Prix,27.982524271844653,47.36310679611651,0.9582524271844662,32.19805825242719,False,82.36854368932038,Caution
37,23819,990,8,6,7,2,\N,R,18,0.0,35,\N,\N,22,6,1:34.337,206.527,36,1,1,2018,Bahrain Grand Prix,27.982524271844653,47.36310679611651,0.9582524271844662,32.19805825242719,False,82.36854368932038,Caution
38,23820,990,830,9,33,15,\N,R,19,0.0,3,\N,\N,\N,0,\N,\N,29,1,1,2018,Bahrain Grand Prix,27.982524271844653,47.36310679611651,0.9582524271844662,32.19805825242719,False,82.36854368932038,Caution
39,23821,990,817,9,3,4,\N,R,20,0.0,1,\N,\N,\N,0,\N,\N,10,1,1,2018,Bahrain Grand Prix,27.982524271844653,47.36310679611651,0.9582524271844662,32.19805825242719,False,82.36854368932038,Caution
40,23822,991,817,9,3,6,1,1,1,25.0,56,1:35:36.380,5736380,55,1,1:35.785,204.871,1,2,2,2018,Chinese Grand Prix,19.446428571428573,24.089285714285715,1.8375,37.01964285714286,True,67.00357142857143,Fine
41,23823,991,822,131,77,3,2,2,2,18.0,56,+8.894,5745274,50,6,1:36.987,202.332,1,2,2,2018,Chinese Grand Prix,19.446428571428573,24.089285714285715,1.8375,37.01964285714286,True,67.00357142857143,Fine
42,23824,991,8,6,7,2,3,3,3,15.0,56,+9.637,5746017,48,3,1:36.456,203.446,1,2,2,2018,Chinese Grand Prix,19.446428571428573,24.089285714285715,1.8375,37.01964285714286,True,67.00357142857143,Fine
43,23825,991,1,131,44,4,4,4,4,12.0,56,+16.985,5753365,20,4,1:36.878,202.559,1,2,2,2018,Chinese Grand Prix,19.446428571428573,24.089285714285715,1.8375,37.01964285714286,True,67.00357142857143,Fine
44,23826,991,830,9,33,5,5,5,5,10.0,56,+20.436,5756816,50,2,1:36.206,203.974,1,2,2,2018,Chinese Grand Prix,19.446428571428573,24.089285714285715,1.8375,37.01964285714286,True,67.00357142857143,Fine
45,23827,991,807,4,27,7,6,6,6,8.0,56,+21.052,5757432,56,5,1:36.881,202.553,1,2,2,2018,Chinese Grand Prix,19.446428571428573,24.089285714285715,1.8375,37.01964285714286,True,67.00357142857143,Fine
46,23828,991,4,1,14,13,7,7,7,6.0,56,+30.639,5767019,56,7,1:37.234,201.818,1,2,2,2018,Chinese Grand Prix,19.446428571428573,24.089285714285715,1.8375,37.01964285714286,True,67.00357142857143,Fine
47,23829,991,20,6,5,1,8,8,8,4.0,56,+35.286,5771666,24,9,1:37.479,201.311,1,2,2,2018,Chinese Grand Prix,19.446428571428573,24.089285714285715,1.8375,37.01964285714286,True,67.00357142857143,Fine
48,23830,991,832,4,55,9,9,9,9,2.0,56,+35.763,5772143,54,11,1:37.754,200.744,1,2,2,2018,Chinese Grand Prix,19.446428571428573,24.089285714285715,1.8375,37.01964285714286,True,67.00357142857143,Fine
49,23831,991,825,210,20,11,10,10,10,1.0,56,+39.594,5775974,54,14,1:38.152,199.930,1,2,2,2018,Chinese Grand Prix,19.446428571428573,24.089285714285715,1.8375,37.01964285714286,True,67.00357142857143,Fine
50,23832,991,839,10,31,12,11,11,11,0.0,56,+44.050,5780430,47,12,1:37.985,200.271,1,2,2,2018,Chinese Grand Prix,19.446428571428573,24.089285714285715,1.8375,37.01964285714286,True,67.00357142857143,Fine
